entry_id,title,artist,album,playlist_name,playlist_description,audio_key,duration
4rKyt2HKIwtf82z2bWBcLe,Shiva's Dance,Suzanne Doucet Christian Buehner,TRANSMISSION - A New Age Classic of Instrumental Music,Lush,"A lush mix of cinematic electronic and ambient sounds, offering a restorative, stimulating, and sensuous experience.",catalog.app/Shiva's Dance.flac,9:30
27OHe74VDiyt93ZZ1g15jt,Accede,Carbon Based Lifeforms,Derelicts,Inner Roads,"A journey through magical realism, where the extraordinary meets the everyday and belief shapes reality.",catalog.app/Accede.flac,5:43
5PwVN99IfZ11hkOAnfhc4x,Terpene,Carbon Based Lifeforms,Twentythree,Graceful Waltz,"Minimalist, introspective, and immersive, featuring lush, dreamlike, cinematic soundscapes.",catalog.app/Terpene.flac,5:59
A1xTNM8d6oJfO8vs4fLxx,Arecibo,Carbon Based Lifeforms,Twentythree,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.",catalog.app/Arecibo.flac,9:25
4dTUso9GK5EjSE82mDzd9w,20 Minutes,Carbon Based Lifeforms,Interloper,New Light,"This selection creates a sophisticated, bittersweet journey through modern classical and melodic electronica, perfectly curated for deep focus or late-night introspection.",catalog.app/20 Minutes.flac,7:28
1ogQH0br8Bv8WDlGsqlx3L,Vision (Revisited),Carbon Based Lifeforms,Alt:02,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses.",catalog.app/Vision (Revisited).flac,3:28
4Vlu4s4pKnMhmU9IKD8Zor,Interloper,Carbon Based Lifeforms,Interloper (2015 Remaster),Space Chill,"This psybient-chill compilation blends dream states, waking life, and ambient-trance sounds, perfect for relaxing, inner exploration, or simply being present.",catalog.app/Interloper.mp3,6:29
44EIVM4K5QnuvWbR75IVdt,Photosynthesis,Carbon Based Lifeforms,World Of Sleepers (2015 Remaster),Space Chill,"This psybient-chill compilation blends dream states, waking life, and ambient-trance sounds, perfect for relaxing, inner exploration, or simply being present.",catalog.app/Photosynthesis.mp3,6:48
6ghr43b0m97MbJz1C3jVkN,Mos 6581,Carbon Based Lifeforms,Hydroponic Garden,,,catalog.app/MOS 6581.flac,7:20
6kid1oHggMkKv91w1ouZXs,Canción de la Nostalgia,Jin Yerei,Canción de la Nostalgia,Melting,"A provocative, sun-bleached odyssey, where psych-cumbia, shamanic folktronica, and dusty spaghetti-western noir collide.",catalog.app/Canción de la Nostalgia.flac,5:14
3Q4HDAcNLp9jGPb5F5R2qm,Introspección,Jin Yerei,"Foráneo, Cálido, Pasmoso",,,catalog.app/Introspección.flac,4:23
4LhFVxGSMcEibJt4AkXcmE,Cariñito (Los Hijos Del Sol),Mustard,Like the Sauce,Melting,"A provocative, sun-bleached odyssey, where psych-cumbia, shamanic folktronica, and dusty spaghetti-western noir collide.",catalog.app/Cariñito (Los Hijos Del Sol).flac,4:19
2a8xfxprTes67FRwd2ALZ0,All There Is,Xerxes,226 B.C,Deep Distance,"Tune in and drift between worlds, where thoughts and intentions shape reality like a lucid dream, full of possibility.",catalog.app/All There Is.flac,3:43
719nh5G0r8djVfwgLaOBso,Lakitian,Xerxes,Droplets of Water,New Light,"This selection creates a sophisticated, bittersweet journey through modern classical and melodic electronica, perfectly curated for deep focus or late-night introspection.",catalog.app/Lakitian.flac,7:55
1SDZF7BKqBQyqx0wgHsiJ2,Bells,Roger Eno,The Turning Year,Subtle Body,"Ethereal tones and primal rhythms blend to awaken the senses, inviting introspection and connection to the unseen.",catalog.app/Bells.flac,3:21
1wT05fEGkWWuxNOyoeAtCe,Recalling Winter,Roger Eno,Voices,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.",catalog.app/Recalling Winter.flac,3:30
1mMzfUPNxg7Du0tddb5uWS,Only in the Dark,Ben Lukas Boysen,Gravity,Being Nothing,"This selection leans into deep meditation ambient, healing soundscapes, and tranquil minimal atmospheres, music designed to slow the mind, create stillness, and support introspection.",catalog.app/Only in the Dark.flac,3:29
1mgoauEDO2C3Gz6vjPkEHY,Nocturne 3,Ben Lukas Boysen,Spells (Special Edition),Subtle Body,"Ethereal tones and primal rhythms blend to awaken the senses, inviting introspection and connection to the unseen.",catalog.app/Nocturne 3.flac,3:45
7gbTY4jzFKhL6daOvSq5TJ,Golden Times 1,Ben Lukas Boysen,Spells,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.",catalog.app/Golden Times 1.flac,8:37
1jX3P6BZa7H0FdM0DYELhJ,Lunamoth,Pensees,Sleepaway,Lucid Dreaming,"This journey is a contemplative, ethereal compilation that unfolds at a meditative pace, featuring hypnotic melodies and immersive sound textures.",catalog.app/Lunamoth.mp3,5:25
zL53B6ZjK9NroXX3peQbV,Climategate,Pensees,Climategate,Easy Motion,"This selection sits in a deep downtempo / atmospheric electronic space, blending trip-hop, dubby ambient house, and hypnotic groove-driven electronica.",catalog.app/Climategate.flac,4:32
57H4nfQ8FPNiTWtlqwbVJi,P Is For Piano,Massive Attack,Danny The Dog - OST,Inner Roads,"A journey through magical realism, where the extraordinary meets the everyday and belief shapes reality.",catalog.app/P Is For Piano.flac,1:56
20iDaLwYaMwxfoFw2E0g1X,Heat Miser,Massive Attack;Craig Armstrong,Protection,Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.",catalog.app/Heat Miser.flac,3:38
6YOTipsEZT36bNzoWWXk2B,Weather Storm,Massive Attack;Craig Armstrong,Protection,Skymind,"This playlist is an interstellar odyssey—a sultry, psychedelic trip that blurs the line between retro-future lounge and deep-sea introspection. ",catalog.app/Weather Storm.flac,4:59
42S047stHQ2HABAEdvaYmQ,Empty Jar,Phaeleh,Lost Time,Looking through,"A dreamy blend of ambient electronica and melodic downtempo—immersive, atmospheric, and gently hypnotic.",catalog.app/Empty Jar.flac,6:19
1rnTSnvTc4s27o9dyANIjS,Three,Phaeleh,Somnus,Inhale,"This selection leans into deep, meditative ambient with mystical and minimal electronic textures, occasionally touching psychedelic and ritualistic atmospheres.",catalog.app/Three.flac,3:46
