themes,primary_genre,secondary_genres,style_tags,mood_keywords,search_keywords,energy_level,summary,track_id,combined_tags
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Experimental,"['Ambient', 'Electroacoustic']","['Hypnotic', 'Atmospheric', 'Textural', 'Layered', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Meredith Monk', 'Eon', 'On Behalf Of Nature', 'Cosmic Focus', 'Experimental Music']",0.2,"Eon by Meredith Monk is an experimental composition that invites listeners into a meditative space, blending hypnotic textures and atmospheric sounds to enhance focus and clarity.",7BLpfeZDUJ6kg23Lv5NIgO,experimental ambient electroacoustic hypnotic atmospheric textural layered organic meditative contemplative serene expansive dreamlike meredith monk eon on behalf of nature cosmic focus experimental music
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Jazz,"['Contemporary Jazz', 'Smooth Jazz']","['Atmospheric', 'Textural', 'Layered', 'Melodic', 'Organic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Jazz', 'Meditation', 'Spiritual', 'Love', 'Calm']",0.3,"'Fool's Gold' is a serene jazz composition that weaves together melodic textures and atmospheric layers, creating a meditative space for reflection and emotional exploration.",7wTGnQFLtKWxkcpkmg98wm,jazz contemporary jazz smooth jazz atmospheric textural layered melodic organic meditative serene contemplative expansive dreamlike jazz meditation spiritual love calm
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Electronic,"['Downtempo', 'Chillout']","['Hypnotic', 'Textural', 'Layered', 'Atmospheric', 'Repetitive']","['Expansive', 'Dreamlike', 'Serene', 'Contemplative', 'Meditative', 'Liberating', 'Reflective', 'Transcendent']","['St Germain', 'Forget Me Not', 'Electronic', 'Downtempo', 'Chillout', 'Ambient', 'Meditation', 'Awareness']",0.4,"'Forget Me Not' by St Germain is a captivating electronic track that blends hypnotic rhythms and atmospheric textures, creating a soundscape that invites listeners to explore new dimensions of awareness and freedom.",3ImLVQum9tZ22cgYvUwnIp,electronic downtempo chillout hypnotic textural layered atmospheric repetitive expansive dreamlike serene contemplative meditative liberating reflective transcendent st germain forget me not electronic downtempo chillout ambient meditation awareness
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Downtempo', 'Neoclassical']","['Atmospheric', 'Textural', 'Layered', 'Organic', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Ray Lynch', 'Ambient', 'Soundscape', 'Meditation', 'Relaxation']",0.3,"A serene ambient soundscape that invites listeners to gracefully dance with reality, embracing the natural rhythms of life through gentle surrender.",2qbS8SL9gcAQAXBuNtpb87,ambient downtempo neoclassical atmospheric textural layered organic hypnotic meditative serene contemplative expansive dreamlike ray lynch ambient soundscape meditation relaxation
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Downtempo,"['Chillout', 'Nu Jazz']","['Atmospheric', 'Textural', 'Layered', 'Organic', 'Hypnotic']","['Contemplative', 'Serene', 'Meditative', 'Expansive', 'Reflective']","['FKJ', 'Greener', 'V I N C E N T', 'Downtempo', 'Chillout']",0.3,"'Greener' by FKJ is a contemplative downtempo track that invites listeners to reflect on their inner state and the world around them, creating a serene atmosphere perfect for mindful practices.",32ZSjnZoOlVfzJWFcJWT9W,downtempo chillout nu jazz atmospheric textural layered organic hypnotic contemplative serene meditative expansive reflective fkj greener v i n c e n t downtempo chillout
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Downtempo,"['Chillout', 'Nu Jazz']","['Atmospheric', 'Textural', 'Organic', 'Layered', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['FKJ', 'Way Out', 'V I N C E N T', 'Mystic Love', 'Chillout Music']",0.4,"'Way Out' by FKJ is a soothing downtempo track that embodies the transformative power of love, creating an atmospheric soundscape perfect for meditation and reflection.",4YzkLNCLZzXOOME4MIuIuU,downtempo chillout nu jazz atmospheric textural organic layered hypnotic meditative serene contemplative expansive dreamlike fkj way out v i n c e n t mystic love chillout music
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': True, 'confidence': 0.8}}",Jazz,"['Experimental', 'Ambient']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Contemplative', 'Expansive', 'Dreamlike', 'Transformative']","['Jan Garbarek', 'In Praise Of Dreams', 'Jazz', 'Ambient', 'Experimental', 'Meditation', 'Dream', 'Transformation']",0.3,A serene and atmospheric composition by Jan Garbarek that invites listeners to explore their inner landscapes and embrace transformative visions of self.,1hUPzMcuiy8iD9oope5Nei,jazz experimental ambient atmospheric textural layered hypnotic organic meditative contemplative expansive dreamlike transformative jan garbarek in praise of dreams jazz ambient experimental meditation dream transformation
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Downtempo', 'Experimental']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Focus', 'Concentration', 'Ambient', 'Meditation', 'Calm']",0.3,"Atlántico by Los Océanos is a serene ambient track that invites listeners to immerse themselves in its atmospheric soundscapes, enhancing focus and clarity while promoting a contemplative state.",1iZoQz4m4DOmA7L30qRCPj,ambient downtempo experimental atmospheric textural layered hypnotic organic meditative contemplative serene expansive dreamlike focus concentration ambient meditation calm
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Ambient,"['Downtempo', 'Experimental']","['Hypnotic', 'Atmospheric', 'Textural', 'Layered', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Focused', 'Expansive']","['Ambient', 'Focus', 'Concentration', 'Meditation', 'Calm']",0.3,"Índico by Los Océanos is a serene ambient track that guides listeners into a state of focused contemplation, perfect for enhancing clarity and concentration.",7LtFls0OEtw7GroZFVhDWV,ambient downtempo experimental hypnotic atmospheric textural layered organic meditative contemplative serene focused expansive ambient focus concentration meditation calm
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': False, 'confidence': 0.2}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Electronic,"['Psychedelic', 'Experimental']","['Hypnotic', 'Textural', 'Atmospheric', 'Layered', 'Repetitive']","['Expansive', 'Dreamlike', 'Liberating', 'Contemplative', 'Ethereal', 'Transcendent', 'Fluid']","['Electronic', 'Psychedelic', 'Ambient', 'Experimental', 'Dance', 'Awareness', 'Freedom', 'Soundtrack']",0.5,"A captivating electronic track that explores new dimensions of awareness, blending hypnotic rhythms and expansive soundscapes to create a liberating auditory experience.",6Wxz0ND0Zi6qyGGWmpQw8D,electronic psychedelic experimental hypnotic textural atmospheric layered repetitive expansive dreamlike liberating contemplative ethereal transcendent fluid electronic psychedelic ambient experimental dance awareness freedom soundtrack
