entry_id,title,artist,album,playlist_name,playlist_description
4rKyt2HKIwtf82z2bWBcLe,Shiva's Dance,Suzanne Doucet Christian Buehner,TRANSMISSION - A New Age Classic of Instrumental Music,DNLD V.2,
27OHe74VDiyt93ZZ1g15jt,Accede,Carbon Based Lifeforms,Derelicts,Cosmic Focus,"Let sound guide your attention to what matters most. A compilation designed to enhance focus, clarity, and concentration."
5PwVN99IfZ11hkOAnfhc4x,Terpene,Carbon Based Lifeforms,Twentythree,Graceful Waltz,"Minimalist, introspective, and immersive, featuring lush, dreamlike, cinematic soundscapes."
A1xTNM8d6oJfO8vs4fLxx,Arecibo,Carbon Based Lifeforms,Twentythree,Grounding,
4dTUso9GK5EjSE82mDzd9w,20 Minutes,Carbon Based Lifeforms,Interloper,Unwind,"This cinematic and expansive blend fuses saxophone, experimental piano, and orchestral strings to evoke inspiration and the splendor of nature."
1ogQH0br8Bv8WDlGsqlx3L,Vision (Revisited),Carbon Based Lifeforms,Alt:02,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses."
4Vlu4s4pKnMhmU9IKD8Zor,Interloper,Carbon Based Lifeforms,Interloper (2015 Remaster),Space Chill,"This psybient-chill compilation blends dream states, waking life, and ambient-trance sounds, perfect for relaxing, inner exploration, or simply being present."
44EIVM4K5QnuvWbR75IVdt,Photosynthesis,Carbon Based Lifeforms,World Of Sleepers (2015 Remaster),Space Chill,"This psybient-chill compilation blends dream states, waking life, and ambient-trance sounds, perfect for relaxing, inner exploration, or simply being present."
6ghr43b0m97MbJz1C3jVkN,Mos 6581,Carbon Based Lifeforms,Hydroponic Garden,,
6kid1oHggMkKv91w1ouZXs,Canción de la Nostalgia,Jin Yerei,Canción de la Nostalgia,Deep Chill,This compilation of psychill and emotive melodies opens a realm where the boundaries of familiarity dissolve into uncharted sonic landscapes. 
3Q4HDAcNLp9jGPb5F5R2qm,Introspección,Jin Yerei,"Foráneo, Cálido, Pasmoso",,
4LhFVxGSMcEibJt4AkXcmE,Cariñito (Los Hijos Del Sol),Mustard,Like the Sauce,Melting,
2a8xfxprTes67FRwd2ALZ0,All There Is,Xerxes,226 B.C,Cosmic Flow,"A sonic journey at the intersection of meditation, shamanism, and experimental psychedelia, where deep, mystical, and energetic sounds converge. "
719nh5G0r8djVfwgLaOBso,Lakitian,Xerxes,Droplets of Water,Skymind,
1SDZF7BKqBQyqx0wgHsiJ2,Bells,Roger Eno,The Turning Year,Subtle Body,"Ethereal tones and primal rhythms blend to awaken the senses, inviting introspection and connection to the unseen."
1wT05fEGkWWuxNOyoeAtCe,Recalling Winter,Roger Eno,Voices,Grounding,
1mMzfUPNxg7Du0tddb5uWS,Only in the Dark,Ben Lukas Boysen,Gravity,Graceful Waltz,"Minimalist, introspective, and immersive, featuring lush, dreamlike, cinematic soundscapes."
1mgoauEDO2C3Gz6vjPkEHY,Nocturne 3,Ben Lukas Boysen,Spells (Special Edition),Subtle Body,"Ethereal tones and primal rhythms blend to awaken the senses, inviting introspection and connection to the unseen."
7gbTY4jzFKhL6daOvSq5TJ,Golden Times 1,Ben Lukas Boysen,Spells,Grounding,
1jX3P6BZa7H0FdM0DYELhJ,Lunamoth,Pensees,Sleepaway,Lucid Dreaming,"This journey is a contemplative, ethereal compilation that unfolds at a meditative pace, featuring hypnotic melodies and immersive sound textures."
zL53B6ZjK9NroXX3peQbV,Climategate,Pensees,Climategate,Oceanic Feeling,
57H4nfQ8FPNiTWtlqwbVJi,P Is For Piano,Massive Attack,Danny The Dog - OST,Inner Roads,"A journey through magical realism, where the extraordinary meets the everyday and belief shapes reality."
20iDaLwYaMwxfoFw2E0g1X,Heat Miser,Massive Attack;Craig Armstrong,Protection,Easy Motion,
6YOTipsEZT36bNzoWWXk2B,Weather Storm,Massive Attack;Craig Armstrong,Protection,Easy Motion,
42S047stHQ2HABAEdvaYmQ,Empty Jar,Phaeleh,Lost Time,Instrumental Muse,"A serene selection of classical masterpieces, weaving soft, feminine melodies that draw you inward and gently elevate the moment."
1rnTSnvTc4s27o9dyANIjS,Three,Phaeleh,Somnus,Cosmic Drift,"A cosmic blend of harps, Persian classical, spiritual house, and electronic music, igniting the imagination.


"
7erG3V4rVnKugDba7Xh2VW,Frozen Sky,Phaeleh,Illusion of the Tale,Grounding,
56cyxO5XVcCWSKXgsCZNZE,Orbits,Phaeleh,Illusion of the Tale,Being Nothing,
12UqmdjA6I2jyXj30QzfQn,La comedienne,Örsten,Amer amour,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses."
NTC7mTPUigZdHCYOmZVLL,Fleur Blanche,Örsten,Cutworks,Cosmic Satin,
4QffSUaAKflpT3TRGVTJAM,Nature Boy,Molly Lewis,Mirage,Timeless,"Tune into the quiet depths of trust, where vision is born and the unseen takes shape. Belief turns the invisible into reality, unfolding like a dream."
5WSnHe8id1Hrow99wQU5d7,Miracle Fruit,Molly Lewis,Mirage,Oceanic Feeling,
6lLzdggtGJkTZQp5IHe9wB,Balcony for Two,Molly Lewis,The Forgotten Edge,Oceanic Feeling,
3oWEKyuNXCvklLlNMhwCaY,Oceanic Feeling,Molly Lewis,The Forgotten Edge,Oceanic Feeling,
5KWgK8yEGXkoEou5R2zLfR,Satin Curtains,Molly Lewis,The Forgotten Edge,Cosmic Satin,
34lI1OICaTnLwcayqtR36P,Flight,Anoushka Shankar,Traces Of You,Renaissance,"This curation ignites transformation, urging us to envision ourselves beyond the present and embrace a higher, more evolved self."
22YjLaxT2v6v3m8LdPeNaY,Land of Gold - Instrumental,Anoushka Shankar,Land Of Gold,Zumurud,
785CgTlxftGDzGjBiAlevg,Mellowing,All Them Witches,Dying Surfer Meets His Maker,Slow burn,
3EnheiqaPJYi7T12UWjBio,Everest,All Them Witches,Nothing as the Ideal,Grounding,
7nAnIKJRIuToA7DHP8qzIa,Mycelium,Golden Brown,Gems and Minerals,Deep Tea,"A journey of introspection, evoking the serene energy of a sacred temple and the soothing warmth of tea notes that awaken the mind."
40nuKmEHvrjI7zC7mZz1gK,The Lyre Tree,Golden Brown,Gems and Minerals,Cosmic Drift,"A cosmic blend of harps, Persian classical, spiritual house, and electronic music, igniting the imagination.


"
7hjZUI12A2xXVKHiw9SOku,Mammoth Star,Golden Brown,Luminous,House of the Setting Sun,
26NJMZT55Fq4y3Gh0TZUdv,Dusty,Golden Brown,Wide Ranging Rider,House of the Setting Sun,
5lpGuVBnH9TKYmynA3OHex,Sleeping Lotus,Joep Beving,Solipsism,Renaissance,"This curation ignites transformation, urging us to envision ourselves beyond the present and embrace a higher, more evolved self."
1Eq3uzZkjRZlcsPtDtDEYA,The Light She Brings,Joep Beving,Solipsism,Soft Mornings,
6SaBtzV5Pbn6RjtZvEcQXQ,A Heartfelt Silence 2,Joep Beving,Prehension,Grounding,
2FStM2XFy87TfEa1tMzkAL,Ab Ovo,Joep Beving,Prehension,Grounding,
2a1JJUq19rqy95oHa8vLrQ,An Amalgamation Waltz 1839,Joep Beving,Prehension,Grounding,
