playlist_id,playlist_title,description,tags
7vuE6Mb8An4Ayd0AscOPTd,Medicine Songs,"A ceremonial journey of sacred chants, hypnotic rhythms, and earthy, transcendent soundscapes, music for ritual, reflection, and deep inner travel.","{""Sacred"",""Spiritual"",""Shamanic""}"
owHGJyBaYd3dzltanYVG7,Weightless,"This masterpice album was crafted in collaboration with sound therapists, its harmonious blend of carefully arranged rhythms, harmonies, and bass lines help to slow the listener's heart rate, reduce blood pressure, and lower levels of the stress hormone cortisol.","{""Ethereal"",""Ambient"",""Immersive""}"
4GvXPYeEQj7qH1NE9oTLvl,"""J"" Blues 72","This tracklist sits in a psychedelic, ritualistic space, mixing psychedelic rock, art rock, cosmic instrumentals, and mystical atmospheres.","{""Art Rock"",""Psychedelic"",""Expansive""}"
2WusLizcwGVpwYN1jQX3Qo,Intergalactic Flow,"Intergalactic Flow invites you to trust the universe’s rhythm, letting perceptions align with the highest good. Surrendering to life’s flow, we embrace each moment with faith, knowing it guides our evolution.","{""Soulful"",""Electronic"",""Contemplative""}"
7eq4yumxUNNusRDeVsuiDp,DNLD V.2,"An eclectic blend of psychedelic downtempo and world ambient—organic textures, hypnotic basslines, and magical, immersive grooves.","{""Eclectic"",""Groovy"",""Cosmic""}"
5dPALfff2PRGCKkFjdcICy,Renaissance,"This curation ignites transformation, urging us to envision ourselves beyond the present and embrace a higher, more evolved self.","{""Soothing"",""Sensual"",""Slow""}"
1kclKcgzDQ9ZPUqgdw5os2,Electric Horizon,"Electronic music unlocks new dimensions of awareness, soundtracking this generation’s dance to freedom.","{""Electronic"",""Soulful"",""Techno""}"
5BVTtHPVLaKiCdJ5pKrKkL,Cosmic Drift,"A cosmic blend of harps, Persian classical, spiritual house, and electronic music, igniting the imagination.


","{""Ethereal"",""Cosmic"",""Immersive""}"
4Z9lDtgd3rEMkJpaQfwRlt,Delta Dreams,"A soothing blend of delta and theta waves at 432 Hz, perfect for sleep, relaxation, and sound therapy. ","{""Sleep"",""Immersive"",""Hypnotic""}"
3OWQMVBSWB958s5dss17wP,Deep Tea,"A journey of introspection, evoking the serene energy of a sacred temple and the soothing warmth of tea notes that awaken the mind.","{""Mystical"",""Meditative"",""Serene""}"
1Lrbu6OwhtWD8gD96YxZyT,Mystic Love,"This selection blends spiritual downtempo, psychedelic soul, ambient jazz, and cosmic textures, balancing groove and transcendence.","{""Mystical"",""Soulful"",""Intimate""}"
tCIyE3aYPdNV3hslLDY9C,Eclectic Zen,"Each note takes us closer to the eternal, each harmony a bridge to the unseen. In music's embrace, we transcend the ordinary, touching the infinite with every beat.","{""Smooth"",""Mystical""}"
6XMQi99LZpC80A45xwt3ZN,Ethereal Nature,"This meditative compilation blends nature sounds with ambient, dreamy soundscapes and a hint of Eastern influences.","{""Organic"",""Meditative""}"
3dJBLI6XSjXZ63VBZYkrBr,Graceful Waltz,"Minimalist, introspective, and immersive, featuring lush, dreamlike, cinematic soundscapes.","{""Elegant"",""Minimal"",""Contemplative""}"
SckqINv7PRWWoeDR1TiCp,Soul Flow,"A laid-back sonic journey capturing the austere beauty of nature, where guitar weaves jazz, soul, trip-hop, and folk influences.","{""Soulful"",""Creative"",""Flow""}"
4h1XYTm4bzXgbsnnKKyEII,Trust the Wild,"An electronic journey of danceable, lounge-inspired beats and melancholic chord progressions, capturing a subtle, emotional sound.","{""Electronic"",""Melodic"",""Movement""}"
6E6k9JW6WFUNI76u6rUfZs,Dreams & Bliss,"Fusing electronic textures with traditional instruments and western melodies, this compilation creates a deeply spiritual and cinematic atmosphere.","{""Dreamy"",""Joyful"",""Drifting""}"
2m7zlf9XTewtYYmOC9Q00e,Enchanted Gardens,"A lush tapestry of textured sound and gentle melodies, weaving avant-garde electronics with astral tones, designed to support both guided and solo psilocybin journeys.
","{""Psychedelic"",""Immersive"",""Dreamy""}"
5wSJyB79WT7RkZqZlWrf9O,Cosmic Smooth,"This eclectic collection of shimmering soundscapes blends psychedelia, ambient textures, and dreamy tones to inspire flow and ease.","{""Smooth"",""Groovy"",""Downtempo""}"
2s988ZsznqOlVV4xgpCmc2,Morning Glory,"This relaxed, uplifting compilation weaves soulful sounds into a vibrant tapestry, creating a peaceful yet energizing atmosphere.","{""Relaxation"",""Morning"",""Expansive""}"
2KlyM482yotqCGLQeCprp8,Kosmic Dreams,"This ambient electronic compilation blends the warmth of analog gear with the precision of digital tools, crafting rhythmic soundscapes perfect for deep inward or psychedelic journeys.","{""Psychedelic"",""Expansive"",""Exploratory""}"
2U41WKhvtxr0qDCe7ID1fs,Timeless,"A refined blend of ambient jazz and modern classical minimalism, layered with atmospheric textures, spacious, elegant, and quietly emotional.","{""Contemplative"",""Instrumental"",""Ambient""}"
2nDuE8g9vVJ9ohtXGbjFZQ,Loungy Hours,"A groovy, loungy electronic mix for a cosmic, rhythmic journey, blended with ambient textures, perfect for a relaxed afternoon sailing under the sun.","{""Groovy"",""Lounge"",""Melodic""}"
3B7fhrLZNiBxhKGM7QyfIX,Japanese Ambient,"Immerse yourself in Japanese-influenced ambient music, blending traditional instruments and modern techniques to create a peaceful, harmonious soundscape.",
2y7bosLUoh8ebY53PSmsgG,Zen Tea Meditation,Immerse yourself in a tranquil realm of ambient downbeat melodies. Perfect for morning meditation or a calming tea ceremony.,"{""Immersive"",""Meditative"",""Cosmic""}"
6y05MjqJetXAmEmVkJVaw1,Restorative Sound,"Timeless instruments, ambient soundscapes, natural tones, and theta-inducing elements flow seamlessly together.","{""Meditative"",""Slow""}"
6BM6dqgeqm6fNoEbhFBc05,Celestial Romance,"In a vast universe of infinite possibilities, finding a heart that aligns with ours feels miraculous, a cosmic soundscape evoking the boundless expanse of space and time.","{""Intimate"",""Mellow""}"
4QXQ5bRZuSs8oG4tmjauox,Quantum Orchestra,"This Electro-Classical compilation weaves ambient textures that glide seamlessly between the intuitive and the intellectual, ideal for deep reflection and focused immersion.","{""Immersive"",""Minimal"",""Melancholic""}"
3dLH8nuwnBgp1gr5qx2E4h,Energy Visions,"This selection leans into organic downtempo with Middle Eastern and desert influences, blending deep groove, melodic electronics, and warm, atmospheric textures.","{""Sunset"",""Melodic"",""Organic Downtempo""}"
7ASzi4nIUxj1iCQdU1yKpt,Ethereal Explorations,"Invisible and non-luminous, sound shapes the universe silently and profoundly. This compilation spans early electronic explorations to contemporary masterpieces.



","{""Ethereal"",""Hypnotic"",""Dreamy""}"
4734nB08oV3lETsrSR7dzL,Slow Splendor,"This delicate compilation blends atmospheric jazz and ethereal electronica, drifting gracefully between the everyday and the sublime.","{""Dreamy"",""Ambient"",""Slow""}"
3NMzJsgSsJoSz4Aew6lXOs,Morning Mood,This lighthearted and eclectic compilation invites listeners to embark on a joyful journey across a vibrant ocean of sound.,"{""Morning"",""Joyful"",""Expansive""}"
3gcQyXYCdGRPljzk1IRs8z,Transition,"By embracing the feelings that align with our deepest truths, we unlock the power to manifest what we believe is possible. ","{""Atmospheric"",""Devotional"",""Ambient""}"
7a22Gj7Wp3jCeJMM9SIGN5,Experimental ,"An experimental ambient soundbath, blending doom, metal, and electronic aesthetics with minimal, classical, and progressive tones. ","{""Experimental"",""Explorative""}"
0dkFSTD9ZaIrFcFfoOAms,Sonic Depths,Dive into an electronic journey where enchanting sounds merge with evocative ambiance and captivating synthesizers. ,"{""Experimental"",""Immersive"",""Ambient""}"
2tWzVmbJAzWKezgzRYxjIX,Organic Rhythms,"This melodious soundscape showcases guitar in various forms, tabla, and drums, creating a driving, revitalizing, sensual, and expansive experience.","{""Organic"",""Earthy"",""Flow""}"
